,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
54,0,B1,Anderlecht,H,0,2004-09-24,D,Charleroi,2,1,Charleroi_Anderlecht_2004
55,1,B1,Club Brugge,A,2,2004-09-24,A,FC Brussels,1,6,FC Brussels_Club Brugge_2004
56,1,B1,Bergen,H,0,2004-09-25,H,Cercle Brugge,2,0,Cercle Brugge_Bergen_2004
57,1,B1,Westerlo,H,1,2004-09-25,D,Lokeren,3,1,Lokeren_Westerlo_2004
58,0,B1,Standard,A,1,2004-09-25,A,Louvieroise,0,1,Louvieroise_Standard_2004
59,0,B1,Gent,A,0,2004-09-25,D,Mouscron,0,2,Mouscron_Gent_2004
60,0,B1,Beveren,D,1,2004-09-25,A,Oostende,1,1,Oostende_Beveren_2004
61,1,B1,Germinal,H,0,2004-09-26,H,Genk,2,1,Genk_Germinal_2004
62,0,B1,St Truiden,A,0,2004-09-26,D,Lierse,0,1,Lierse_St Truiden_2004
63,3,B1,Cercle Brugge,H,2,2004-10-02,H,Anderlecht,5,2,Anderlecht_Cercle Brugge_2004
64,1,B1,FC Brussels,A,0,2004-10-02,H,Bergen,1,2,Bergen_FC Brussels_2004
65,1,B1,Oostende,H,1,2004-10-02,D,Gent,2,1,Gent_Oostende_2004
66,0,B1,Lokeren,A,0,2004-10-02,D,Germinal,1,2,Germinal_Lokeren_2004
67,1,B1,Charleroi,D,0,2004-10-02,H,St Truiden,2,2,St Truiden_Charleroi_2004
68,1,B1,Lierse,H,0,2004-10-03,H,Beveren,2,1,Beveren_Lierse_2004
69,1,B1,Genk,D,1,2004-10-03,D,Club Brugge,1,1,Club Brugge_Genk_2004
70,1,B1,Mouscron,H,0,2004-10-03,H,Standard,2,0,Standard_Mouscron_2004
71,0,B1,Louvieroise,A,0,2004-10-03,D,Westerlo,0,2,Westerlo_Louvieroise_2004
72,0,B1,Anderlecht,A,1,2004-10-15,A,FC Brussels,0,1,FC Brussels_Anderlecht_2004
73,1,B1,Bergen,D,1,2004-10-16,D,Genk,2,2,Genk_Bergen_2004
