,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
113,3.2,1.9,4.0,-0.5,2.0,3.3,3.3,-0.5,3.5,3.25,1.8,3.5,3.25,2.0,1.85,1.8,1.9,2.0,3.2,2.05,1.95,3.5,1.8,2.0,3.2,2.1,1.8,2.0,-0.5,1.61,3.1,3.2,3.2,2.0,Celta,Ath Bilbao,Celta_Ath Bilbao_2003
114,3.1,2.5,2.38,0.0,2.6,2.5,2.5,0.0,2.5,2.5,2.6,2.52,3.2,2.5,1.8,1.95,2.5,2.6,3.1,1.9,2.0,2.5,1.9,2.52,3.1,1.9,2.0,1.85,0.0,1.74,3.0,3.2,3.25,1.9,Espanol,Sevilla,Espanol_Sevilla_2003
115,3.1,1.8,3.2,0.0,2.0,3.3,3.3,-2.25,3.6,3.25,2.1,3.5,3.25,2.0,1.7,1.95,1.9,2.0,3.2,1.9,2.1,3.8,2.05,2.0,3.2,2.0,1.9,1.45,-2.0,2.5,3.1,3.0,3.2,1.75,Malaga,Osasuna,Malaga_Osasuna_2003
116,3.1,4.0,1.73,-0.5,4.33,1.73,1.73,-0.5,1.8,1.8,4.33,1.8,3.25,4.0,1.7,1.85,4.0,4.33,3.25,2.0,2.1,1.75,1.8,4.1,3.25,2.1,1.8,1.95,-0.5,1.66,3.2,3.2,3.3,2.0,Murcia,Valencia,Murcia_Valencia_2003
117,6.0,1.15,13.0,0.5,1.14,13.0,13.0,0.5,15.0,12.0,1.14,17.0,6.5,1.14,2.4,1.8,1.12,1.14,6.0,2.05,1.53,12.0,1.8,1.15,6.0,2.0,1.9,1.74,0.5,1.85,6.0,6.0,6.25,2.0,Real Madrid,Albacete,Real Madrid_Albacete_2003
118,3.25,1.8,4.0,-0.5,1.8,4.0,4.0,-0.5,3.8,4.33,1.8,4.1,3.25,1.72,1.8,1.95,1.8,1.8,3.25,1.9,2.0,3.8,2.0,1.8,3.25,1.85,2.05,2.0,-0.5,1.61,3.1,3.2,3.3,1.8,Santander,Zaragoza,Santander_Zaragoza_2003
119,3.1,2.4,2.6,-0.25,2.4,2.6,2.6,-0.25,2.62,2.62,2.38,2.6,3.2,2.37,1.8,1.75,2.37,2.4,3.2,2.1,2.0,2.6,2.0,2.45,3.2,2.1,1.8,1.9,0.0,1.7,3.0,3.2,3.25,1.8,Valladolid,Ath Madrid,Valladolid_Ath Madrid_2003
120,3.3,1.65,4.5,-0.5,1.73,4.33,4.33,0.5,4.5,4.33,1.67,4.5,3.25,1.72,1.85,1.9,1.66,1.73,3.25,1.95,1.95,4.6,1.85,1.72,3.25,1.8,2.1,1.71,-0.75,1.95,3.2,3.25,3.35,1.95,Ath Madrid,Malaga,Ath Madrid_Malaga_2003
121,3.1,2.7,2.38,0.0,2.7,2.38,2.38,0.0,2.5,2.5,2.6,2.55,3.2,2.5,1.8,1.9,2.5,2.62,3.2,1.95,2.0,2.4,1.85,2.65,3.1,2.05,1.85,1.83,0.0,1.83,2.9,3.2,3.0,1.95,Murcia,Sociedad,Murcia_Sociedad_2003
122,3.2,3.5,1.8,0.5,4.2,1.75,1.67,0.5,1.83,1.83,3.75,1.8,3.25,3.75,1.95,1.85,3.75,4.33,3.4,2.0,1.85,1.9,1.8,4.0,3.3,2.0,1.9,1.65,0.5,2.0,3.1,3.25,3.3,2.0,Osasuna,Real Madrid,Osasuna_Real Madrid_2003
