,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
202,5,1,2021-04-12,7,18,G1,1,1,7,0,0,18,3,4,4,0,4,17:30:00,Lamia,H,A,Giannina,2,Giannina_Lamia_2020
203,5,0,2021-04-17,6,27,G1,1,2,10,0,0,17,3,5,3,0,5,13:00:00,Atromitos,D,D,OFI Crete,1,OFI Crete_Atromitos_2020
204,1,0,2021-04-17,5,22,G1,1,1,4,0,0,13,4,7,2,0,0,15:15:00,Apollon,D,H,Panetolikos,0,Panetolikos_Apollon_2020
205,6,1,2021-04-17,10,14,G1,1,1,5,0,0,24,3,5,5,1,3,17:30:00,Giannina,D,D,Volos NFC,1,Volos NFC_Giannina_2020
206,6,1,2021-04-18,11,17,G1,1,7,2,0,1,15,5,0,3,0,2,13:00:00,Aris,H,A,Panathinaikos,2,Panathinaikos_Aris_2020
207,3,1,2021-04-18,4,14,G1,3,1,12,0,0,15,0,6,1,1,8,15:15:00,Asteras Tripolis,D,H,AEK,1,AEK_Asteras Tripolis_2020
208,4,0,2021-04-18,10,17,G1,2,0,7,0,0,14,4,3,2,0,4,17:30:00,Olympiakos,D,H,PAOK,0,PAOK_Olympiakos_2020
209,2,0,2021-04-19,4,17,G1,0,2,8,0,0,20,2,7,5,0,3,17:30:00,Larisa,D,D,Lamia,0,Lamia_Larisa_2020
210,1,0,2021-04-21,7,9,G1,1,1,7,0,0,20,0,3,1,0,4,15:15:00,Asteras Tripolis,D,H,Olympiakos,0,Olympiakos_Asteras Tripolis_2020
211,4,0,2021-04-21,8,24,G1,0,1,7,1,0,15,2,9,5,1,3,17:30:00,PAOK,A,A,Aris,1,Aris_PAOK_2020
212,2,0,2021-04-21,2,14,G1,1,4,9,0,0,15,2,11,5,1,5,19:30:00,Panathinaikos,A,D,AEK,1,AEK_Panathinaikos_2020
213,3,0,2021-04-24,5,13,G1,0,3,4,0,0,23,2,4,0,1,2,13:00:00,Panetolikos,A,A,Giannina,1,Giannina_Panetolikos_2020
214,4,0,2021-04-24,6,14,G1,0,4,5,1,0,22,4,5,3,1,1,15:15:00,OFI Crete,A,A,Larisa,1,Larisa_OFI Crete_2020
215,1,0,2021-04-24,4,12,G1,0,1,3,0,1,8,1,1,1,0,1,17:30:00,Lamia,D,D,Atromitos,0,Atromitos_Lamia_2020
216,0,0,2021-04-25,3,14,G1,0,2,8,0,0,21,3,4,3,0,4,13:00:00,Panathinaikos,D,D,PAOK,0,PAOK_Panathinaikos_2020
217,3,0,2021-04-25,10,11,G1,1,2,5,0,0,24,4,8,2,0,2,15:15:00,Aris,D,D,Asteras Tripolis,1,Asteras Tripolis_Aris_2020
218,2,0,2021-04-25,8,19,G1,2,4,12,0,0,9,3,6,1,0,4,17:30:00,AEK,D,H,Olympiakos,0,Olympiakos_AEK_2020
219,1,0,2021-04-26,6,9,G1,0,1,8,0,0,8,2,3,1,0,2,17:30:00,Volos NFC,D,D,Apollon,0,Apollon_Volos NFC_2020
